,cfips,county,state
287,08089,Otero County,Colorado
288,08091,Ouray County,Colorado
289,08093,Park County,Colorado
290,08095,Phillips County,Colorado
291,08097,Pitkin County,Colorado
292,08099,Prowers County,Colorado
293,08101,Pueblo County,Colorado
294,08103,Rio Blanco County,Colorado
295,08105,Rio Grande County,Colorado
296,08107,Routt County,Colorado
297,08109,Saguache County,Colorado
298,08111,San Juan County,Colorado
299,08113,San Miguel County,Colorado
300,08115,Sedgwick County,Colorado
301,08117,Summit County,Colorado
302,08119,Teller County,Colorado
303,08121,Washington County,Colorado
304,08123,Weld County,Colorado
305,08125,Yuma County,Colorado
306,09001,Fairfield County,Connecticut
307,09003,Hartford County,Connecticut
308,09005,Litchfield County,Connecticut
309,09007,Middlesex County,Connecticut
310,09009,New Haven County,Connecticut
311,09011,New London County,Connecticut
312,09013,Tolland County,Connecticut
313,09015,Windham County,Connecticut
314,10001,Kent County,Delaware
315,10003,New Castle County,Delaware
316,10005,Sussex County,Delaware
317,11001,District of Columbia,District of Columbia
318,12001,Alachua County,Florida
319,12003,Baker County,Florida
320,12005,Bay County,Florida
321,12007,Bradford County,Florida
322,12009,Brevard County,Florida
323,12011,Broward County,Florida
324,12013,Calhoun County,Florida
325,12015,Charlotte County,Florida
326,12017,Citrus County,Florida
327,12019,Clay County,Florida
328,12021,Collier County,Florida
329,12023,Columbia County,Florida
330,12027,DeSoto County,Florida
331,12029,Dixie County,Florida
332,12031,Duval County,Florida
333,12033,Escambia County,Florida
334,12035,Flagler County,Florida
335,12037,Franklin County,Florida
336,12039,Gadsden County,Florida
337,12041,Gilchrist County,Florida
338,12043,Glades County,Florida
339,12045,Gulf County,Florida
340,12047,Hamilton County,Florida
341,12049,Hardee County,Florida
342,12051,Hendry County,Florida
343,12053,Hernando County,Florida
344,12055,Highlands County,Florida
345,12057,Hillsborough County,Florida
346,12059,Holmes County,Florida
347,12061,Indian River County,Florida
348,12063,Jackson County,Florida
349,12065,Jefferson County,Florida
350,12067,Lafayette County,Florida
351,12069,Lake County,Florida
352,12071,Lee County,Florida
353,12073,Leon County,Florida
354,12075,Levy County,Florida
355,12077,Liberty County,Florida
356,12079,Madison County,Florida
357,12081,Manatee County,Florida
358,12083,Marion County,Florida
359,12085,Martin County,Florida
360,12086,Miami-Dade County,Florida
361,12087,Monroe County,Florida
362,12089,Nassau County,Florida
363,12091,Okaloosa County,Florida
364,12093,Okeechobee County,Florida
365,12095,Orange County,Florida
366,12097,Osceola County,Florida
367,12099,Palm Beach County,Florida
368,12101,Pasco County,Florida
369,12103,Pinellas County,Florida
370,12105,Polk County,Florida
371,12107,Putnam County,Florida
372,12109,St. Johns County,Florida
373,12111,St. Lucie County,Florida
374,12113,Santa Rosa County,Florida
375,12115,Sarasota County,Florida
376,12117,Seminole County,Florida
377,12119,Sumter County,Florida
378,12121,Suwannee County,Florida
379,12123,Taylor County,Florida
380,12125,Union County,Florida
381,12127,Volusia County,Florida
382,12129,Wakulla County,Florida
383,12131,Walton County,Florida
384,12133,Washington County,Florida
385,13001,Appling County,Georgia
386,13003,Atkinson County,Georgia
387,13005,Bacon County,Georgia
388,13007,Baker County,Georgia
389,13009,Baldwin County,Georgia
390,13011,Banks County,Georgia
391,13013,Barrow County,Georgia
392,13015,Bartow County,Georgia
393,13017,Ben Hill County,Georgia
394,13019,Berrien County,Georgia
395,13021,Bibb County,Georgia
396,13023,Bleckley County,Georgia
397,13025,Brantley County,Georgia
398,13027,Brooks County,Georgia
399,13029,Bryan County,Georgia
400,13031,Bulloch County,Georgia
401,13033,Burke County,Georgia
402,13035,Butts County,Georgia
403,13037,Calhoun County,Georgia
404,13039,Camden County,Georgia
405,13043,Candler County,Georgia
406,13045,Carroll County,Georgia
407,13047,Catoosa County,Georgia
408,13049,Charlton County,Georgia
409,13051,Chatham County,Georgia
410,13053,Chattahoochee County,Georgia
411,13055,Chattooga County,Georgia
412,13057,Cherokee County,Georgia
413,13059,Clarke County,Georgia
414,13061,Clay County,Georgia
415,13063,Clayton County,Georgia
416,13065,Clinch County,Georgia
417,13067,Cobb County,Georgia
418,13069,Coffee County,Georgia
419,13071,Colquitt County,Georgia
420,13073,Columbia County,Georgia
421,13075,Cook County,Georgia
422,13077,Coweta County,Georgia
423,13079,Crawford County,Georgia
424,13081,Crisp County,Georgia
425,13083,Dade County,Georgia
426,13085,Dawson County,Georgia
427,13087,Decatur County,Georgia
428,13089,DeKalb County,Georgia
429,13091,Dodge County,Georgia
430,13093,Dooly County,Georgia
431,13095,Dougherty County,Georgia
432,13097,Douglas County,Georgia
433,13099,Early County,Georgia
434,13101,Echols County,Georgia
435,13103,Effingham County,Georgia
436,13105,Elbert County,Georgia
437,13107,Emanuel County,Georgia
438,13109,Evans County,Georgia
439,13111,Fannin County,Georgia
440,13113,Fayette County,Georgia
441,13115,Floyd County,Georgia
442,13117,Forsyth County,Georgia
443,13119,Franklin County,Georgia
444,13121,Fulton County,Georgia
445,13123,Gilmer County,Georgia
446,13125,Glascock County,Georgia
447,13127,Glynn County,Georgia
448,13129,Gordon County,Georgia
449,13131,Grady County,Georgia
450,13133,Greene County,Georgia
451,13135,Gwinnett County,Georgia
452,13137,Habersham County,Georgia
453,13139,Hall County,Georgia
454,13141,Hancock County,Georgia
455,13143,Haralson County,Georgia
456,13145,Harris County,Georgia
457,13147,Hart County,Georgia
458,13149,Heard County,Georgia
459,13151,Henry County,Georgia
460,13153,Houston County,Georgia
461,13155,Irwin County,Georgia
462,13157,Jackson County,Georgia
463,13159,Jasper County,Georgia
464,13161,Jeff Davis County,Georgia
465,13163,Jefferson County,Georgia
466,13165,Jenkins County,Georgia
467,13167,Johnson County,Georgia
468,13169,Jones County,Georgia
469,13171,Lamar County,Georgia
470,13173,Lanier County,Georgia
471,13175,Laurens County,Georgia
472,13177,Lee County,Georgia
473,13179,Liberty County,Georgia
474,13181,Lincoln County,Georgia
475,13183,Long County,Georgia
476,13185,Lowndes County,Georgia
477,13187,Lumpkin County,Georgia
478,13189,McDuffie County,Georgia
479,13191,McIntosh County,Georgia
480,13193,Macon County,Georgia
481,13195,Madison County,Georgia
482,13197,Marion County,Georgia
483,13199,Meriwether County,Georgia
484,13201,Miller County,Georgia
485,13205,Mitchell County,Georgia
486,13207,Monroe County,Georgia
487,13209,Montgomery County,Georgia
488,13211,Morgan County,Georgia
489,13213,Murray County,Georgia
490,13215,Muscogee County,Georgia
491,13217,Newton County,Georgia
492,13219,Oconee County,Georgia
493,13221,Oglethorpe County,Georgia
494,13223,Paulding County,Georgia
495,13225,Peach County,Georgia
496,13227,Pickens County,Georgia
497,13229,Pierce County,Georgia
498,13231,Pike County,Georgia
499,13233,Polk County,Georgia
500,13235,Pulaski County,Georgia
501,13237,Putnam County,Georgia
502,13239,Quitman County,Georgia
503,13241,Rabun County,Georgia
504,13243,Randolph County,Georgia
505,13245,Richmond County,Georgia
506,13247,Rockdale County,Georgia
507,13249,Schley County,Georgia
508,13251,Screven County,Georgia
509,13253,Seminole County,Georgia
510,13255,Spalding County,Georgia
511,13257,Stephens County,Georgia
512,13259,Stewart County,Georgia
513,13261,Sumter County,Georgia
514,13263,Talbot County,Georgia
515,13265,Taliaferro County,Georgia
516,13267,Tattnall County,Georgia
517,13269,Taylor County,Georgia
518,13271,Telfair County,Georgia
519,13273,Terrell County,Georgia
520,13275,Thomas County,Georgia
521,13277,Tift County,Georgia
522,13279,Toombs County,Georgia
523,13281,Towns County,Georgia
524,13283,Treutlen County,Georgia
525,13285,Troup County,Georgia
526,13287,Turner County,Georgia
527,13289,Twiggs County,Georgia
528,13291,Union County,Georgia
529,13293,Upson County,Georgia
530,13295,Walker County,Georgia
531,13297,Walton County,Georgia
532,13299,Ware County,Georgia
533,13301,Warren County,Georgia
534,13303,Washington County,Georgia
535,13305,Wayne County,Georgia
536,13307,Webster County,Georgia
537,13309,Wheeler County,Georgia
538,13311,White County,Georgia
539,13313,Whitfield County,Georgia
540,13315,Wilcox County,Georgia
541,13317,Wilkes County,Georgia
542,13319,Wilkinson County,Georgia
543,13321,Worth County,Georgia
544,15001,Hawaii County,Hawaii
545,15003,Honolulu County,Hawaii
546,15005,Kalawao County,Hawaii
547,15007,Kauai County,Hawaii
548,15009,Maui County,Hawaii
549,16001,Ada County,Idaho
550,16003,Adams County,Idaho
551,16005,Bannock County,Idaho
552,16007,Bear Lake County,Idaho
553,16009,Benewah County,Idaho
554,16011,Bingham County,Idaho
555,16013,Blaine County,Idaho
556,16015,Boise County,Idaho
557,16017,Bonner County,Idaho
558,16019,Bonneville County,Idaho
559,16021,Boundary County,Idaho
560,16023,Butte County,Idaho
561,16025,Camas County,Idaho
562,16027,Canyon County,Idaho
563,16029,Caribou County,Idaho
564,16031,Cassia County,Idaho
565,16033,Clark County,Idaho
566,16035,Clearwater County,Idaho
567,16037,Custer County,Idaho
568,16039,Elmore County,Idaho
569,16041,Franklin County,Idaho
570,16043,Fremont County,Idaho
571,16045,Gem County,Idaho
572,16047,Gooding County,Idaho
573,16049,Idaho County,Idaho
574,16051,Jefferson County,Idaho
575,16053,Jerome County,Idaho
576,16055,Kootenai County,Idaho
577,16057,Latah County,Idaho
578,16059,Lemhi County,Idaho
579,16061,Lewis County,Idaho
580,16063,Lincoln County,Idaho
581,16065,Madison County,Idaho
582,16067,Minidoka County,Idaho
583,16069,Nez Perce County,Idaho
584,16071,Oneida County,Idaho
585,16073,Owyhee County,Idaho
586,16075,Payette County,Idaho
587,16077,Power County,Idaho
588,16079,Shoshone County,Idaho
589,16081,Teton County,Idaho
590,16083,Twin Falls County,Idaho
591,16085,Valley County,Idaho
592,16087,Washington County,Idaho
593,17001,Adams County,Illinois
594,17003,Alexander County,Illinois
595,17005,Bond County,Illinois
596,17007,Boone County,Illinois
597,17009,Brown County,Illinois
598,17011,Bureau County,Illinois
599,17013,Calhoun County,Illinois
600,17015,Carroll County,Illinois
601,17017,Cass County,Illinois
602,17019,Champaign County,Illinois
603,17021,Christian County,Illinois
604,17023,Clark County,Illinois
605,17025,Clay County,Illinois
606,17027,Clinton County,Illinois
607,17029,Coles County,Illinois
608,17031,Cook County,Illinois
609,17033,Crawford County,Illinois
610,17035,Cumberland County,Illinois
611,17037,DeKalb County,Illinois
612,17039,De Witt County,Illinois
613,17041,Douglas County,Illinois
614,17043,DuPage County,Illinois
615,17045,Edgar County,Illinois
616,17047,Edwards County,Illinois
617,17049,Effingham County,Illinois
618,17051,Fayette County,Illinois
619,17053,Ford County,Illinois
620,17055,Franklin County,Illinois
621,17057,Fulton County,Illinois
622,17059,Gallatin County,Illinois
623,17061,Greene County,Illinois
624,17063,Grundy County,Illinois
625,17065,Hamilton County,Illinois
626,17067,Hancock County,Illinois
627,17069,Hardin County,Illinois
628,17071,Henderson County,Illinois
629,17073,Henry County,Illinois
630,17075,Iroquois County,Illinois
631,17077,Jackson County,Illinois
632,17079,Jasper County,Illinois
633,17081,Jefferson County,Illinois
634,17083,Jersey County,Illinois
635,17085,Jo Daviess County,Illinois
636,17087,Johnson County,Illinois
637,17089,Kane County,Illinois
638,17091,Kankakee County,Illinois
639,17093,Kendall County,Illinois
640,17095,Knox County,Illinois
641,17097,Lake County,Illinois
642,17099,LaSalle County,Illinois
643,17101,Lawrence County,Illinois
644,17103,Lee County,Illinois
645,17105,Livingston County,Illinois
646,17107,Logan County,Illinois
647,17109,McDonough County,Illinois
648,17111,McHenry County,Illinois
649,17113,McLean County,Illinois
650,17115,Macon County,Illinois
651,17117,Macoupin County,Illinois
652,17119,Madison County,Illinois
653,17121,Marion County,Illinois
654,17123,Marshall County,Illinois
655,17125,Mason County,Illinois
656,17127,Massac County,Illinois
657,17129,Menard County,Illinois
658,17131,Mercer County,Illinois
659,17133,Monroe County,Illinois
660,17135,Montgomery County,Illinois
661,17137,Morgan County,Illinois
662,17139,Moultrie County,Illinois
663,17141,Ogle County,Illinois
664,17143,Peoria County,Illinois
665,17145,Perry County,Illinois
666,17147,Piatt County,Illinois
667,17149,Pike County,Illinois
668,17151,Pope County,Illinois
669,17153,Pulaski County,Illinois
670,17155,Putnam County,Illinois
671,17157,Randolph County,Illinois
672,17159,Richland County,Illinois
673,17161,Rock Island County,Illinois
674,17163,St. Clair County,Illinois
675,17165,Saline County,Illinois
676,17167,Sangamon County,Illinois
677,17169,Schuyler County,Illinois
678,17171,Scott County,Illinois
679,17173,Shelby County,Illinois
680,17175,Stark County,Illinois
681,17177,Stephenson County,Illinois
682,17179,Tazewell County,Illinois
683,17181,Union County,Illinois
684,17183,Vermilion County,Illinois
685,17185,Wabash County,Illinois
686,17187,Warren County,Illinois
687,17189,Washington County,Illinois
688,17191,Wayne County,Illinois
689,17193,White County,Illinois
690,17195,Whiteside County,Illinois
691,17197,Will County,Illinois
692,17199,Williamson County,Illinois
693,17201,Winnebago County,Illinois
694,17203,Woodford County,Illinois
695,18001,Adams County,Indiana
696,18003,Allen County,Indiana
697,18005,Bartholomew County,Indiana
698,18007,Benton County,Indiana
699,18009,Blackford County,Indiana
700,18011,Boone County,Indiana
701,18013,Brown County,Indiana
702,18015,Carroll County,Indiana
703,18017,Cass County,Indiana
704,18019,Clark County,Indiana
705,18021,Clay County,Indiana
706,18023,Clinton County,Indiana
707,18025,Crawford County,Indiana
708,18027,Daviess County,Indiana
709,18029,Dearborn County,Indiana
710,18031,Decatur County,Indiana
711,18033,DeKalb County,Indiana
712,18035,Delaware County,Indiana
713,18037,Dubois County,Indiana
714,18039,Elkhart County,Indiana
715,18041,Fayette County,Indiana
716,18043,Floyd County,Indiana
717,18045,Fountain County,Indiana
718,18047,Franklin County,Indiana
719,18049,Fulton County,Indiana
720,18051,Gibson County,Indiana
721,18053,Grant County,Indiana
722,18055,Greene County,Indiana
723,18057,Hamilton County,Indiana
724,18059,Hancock County,Indiana
725,18061,Harrison County,Indiana
726,18063,Hendricks County,Indiana
727,18065,Henry County,Indiana
728,18067,Howard County,Indiana
729,18069,Huntington County,Indiana
730,18071,Jackson County,Indiana
731,18073,Jasper County,Indiana
732,18075,Jay County,Indiana
733,18077,Jefferson County,Indiana
734,18079,Jennings County,Indiana
735,18081,Johnson County,Indiana
736,18083,Knox County,Indiana
737,18085,Kosciusko County,Indiana
738,18087,LaGrange County,Indiana
739,18089,Lake County,Indiana
740,18091,LaPorte County,Indiana
741,18093,Lawrence County,Indiana
742,18095,Madison County,Indiana
743,18097,Marion County,Indiana
744,18099,Marshall County,Indiana
745,18101,Martin County,Indiana
746,18103,Miami County,Indiana
747,18105,Monroe County,Indiana
748,18107,Montgomery County,Indiana
749,18109,Morgan County,Indiana
750,18111,Newton County,Indiana
751,18113,Noble County,Indiana
752,18115,Ohio County,Indiana
753,18117,Orange County,Indiana
754,18119,Owen County,Indiana
755,18121,Parke County,Indiana
756,18123,Perry County,Indiana
757,18125,Pike County,Indiana
758,18127,Porter County,Indiana
759,18129,Posey County,Indiana
760,18131,Pulaski County,Indiana
761,18133,Putnam County,Indiana
762,18135,Randolph County,Indiana
763,18137,Ripley County,Indiana
764,18139,Rush County,Indiana
765,18141,St. Joseph County,Indiana
766,18143,Scott County,Indiana
767,18145,Shelby County,Indiana
768,18147,Spencer County,Indiana
769,18149,Starke County,Indiana
770,18151,Steuben County,Indiana
771,18153,Sullivan County,Indiana
772,18155,Switzerland County,Indiana
773,18157,Tippecanoe County,Indiana
774,18159,Tipton County,Indiana
775,18161,Union County,Indiana
776,18163,Vanderburgh County,Indiana
777,18165,Vermillion County,Indiana
778,18167,Vigo County,Indiana
779,18169,Wabash County,Indiana
780,18171,Warren County,Indiana
781,18173,Warrick County,Indiana
782,18175,Washington County,Indiana
783,18177,Wayne County,Indiana
784,18179,Wells County,Indiana
785,18181,White County,Indiana
786,18183,Whitley County,Indiana
787,19001,Adair County,Iowa
788,19003,Adams County,Iowa
789,19005,Allamakee County,Iowa
790,19007,Appanoose County,Iowa
791,19009,Audubon County,Iowa
792,19011,Benton County,Iowa
793,19013,Black Hawk County,Iowa
794,19015,Boone County,Iowa
795,19017,Bremer County,Iowa
796,19019,Buchanan County,Iowa
797,19021,Buena Vista County,Iowa
798,19023,Butler County,Iowa
799,19025,Calhoun County,Iowa
800,19027,Carroll County,Iowa
801,19029,Cass County,Iowa
802,19031,Cedar County,Iowa
803,19033,Cerro Gordo County,Iowa
804,19035,Cherokee County,Iowa
805,19037,Chickasaw County,Iowa
806,19039,Clarke County,Iowa
807,19041,Clay County,Iowa
808,19043,Clayton County,Iowa
809,19045,Clinton County,Iowa
810,19047,Crawford County,Iowa
811,19049,Dallas County,Iowa
812,19051,Davis County,Iowa
813,19053,Decatur County,Iowa
814,19055,Delaware County,Iowa
815,19057,Des Moines County,Iowa
816,19059,Dickinson County,Iowa
817,19061,Dubuque County,Iowa
818,19063,Emmet County,Iowa
819,19065,Fayette County,Iowa
820,19067,Floyd County,Iowa
821,19069,Franklin County,Iowa
822,19071,Fremont County,Iowa
823,19073,Greene County,Iowa
824,19075,Grundy County,Iowa
825,19077,Guthrie County,Iowa
826,19079,Hamilton County,Iowa
827,19081,Hancock County,Iowa
828,19083,Hardin County,Iowa
829,19085,Harrison County,Iowa
830,19087,Henry County,Iowa
831,19089,Howard County,Iowa
832,19091,Humboldt County,Iowa
833,19093,Ida County,Iowa
834,19095,Iowa County,Iowa
835,19097,Jackson County,Iowa
836,19099,Jasper County,Iowa
837,19101,Jefferson County,Iowa
838,19103,Johnson County,Iowa
839,19105,Jones County,Iowa
840,19107,Keokuk County,Iowa
841,19109,Kossuth County,Iowa
842,19111,Lee County,Iowa
843,19113,Linn County,Iowa
844,19115,Louisa County,Iowa
845,19117,Lucas County,Iowa
846,19119,Lyon County,Iowa
847,19121,Madison County,Iowa
848,19123,Mahaska County,Iowa
849,19125,Marion County,Iowa
850,19127,Marshall County,Iowa
851,19129,Mills County,Iowa
852,19131,Mitchell County,Iowa
853,19133,Monona County,Iowa
854,19135,Monroe County,Iowa
855,19137,Montgomery County,Iowa
856,19139,Muscatine County,Iowa
857,19141,O'Brien County,Iowa
858,19143,Osceola County,Iowa
859,19145,Page County,Iowa
860,19147,Palo Alto County,Iowa
861,19149,Plymouth County,Iowa
862,19151,Pocahontas County,Iowa
863,19153,Polk County,Iowa
864,19155,Pottawattamie County,Iowa
865,19157,Poweshiek County,Iowa
866,19159,Ringgold County,Iowa
867,19161,Sac County,Iowa
868,19163,Scott County,Iowa
869,19165,Shelby County,Iowa
870,19167,Sioux County,Iowa
871,19169,Story County,Iowa
